File name,testSerial(m),testLevelOpt1(m),testLevelOpt64(m),testLevelOptMem1(m),testLevelOptMem64(m)
wikisamp.xml,382,764,763,383,383
howto,151,302,300,151,150
rctail96,425,863,863,425,426
proteins,726,1527,1527,727,727
chr22.dna,112,244,242,112,109
etext99,402,804,804,403,405
rfc,431,876,876,431,433
sprot34,406,824,824,406,406
w3c2,398,796,796,399,399
trigramString_10000000,35,74,71,35,32
randomSeq_10M_100K_int,204,429,428,204,203
jdk13c,258,525,525,259,258
randomSeq_10M_256_int,124,260,257,124,122
randomSeq_100M_256_int,1235,2598,2599,1236,1237
randomSeq_10M_1048576_int,2400,5050,5053,2403,2403
