File name,serial(t),levelOpt1(t),levelOpt64(t),levelOptMem1(t),levelOpt64(t),ddWtOpt1(t),ddWtOpt64(t)
trigramString_10000000,0.321,0.453,0.054,0.476,0.054,0.324,0.018
chr22.dna,0.563,0.789,0.07,0.806,0.07,0.555,0.032
etext99,4.86,7.24,0.587,6.96,0.587,4.87,0.184
howto,1.71,3.04,0.264,2.48,0.264,1.72,0.079
jdk13c,2.8,4.17,0.316,4.07,0.316,2.75,0.13
proteins,6.97,9.78,0.621,10.3,0.621,6.92,0.318
rctail96,4.71,6.9,0.5,6.85,0.5,4.65,0.191
rfc,4.55,6.79,0.494,6.37,0.494,4.57,0.184
sprot34,4.41,6.56,0.538,6.38,0.538,4.38,0.181
w3c2,4.77,7.08,0.563,6.67,0.563,4.68,0.229
wikisamp.xml,4.27,6.52,0.487,5.98,0.487,4.17,0.183
randomSeq_100M_256_int,6.54,8.67,0.686,10.5,0.686,6.4,0.551
randomSeq_10M_100K_int,1.34,1.85,0.15,2.28,0.15,1.45,0.122
randomSeq_10M_1048576_int,17.3,22.3,1.37,27.5,1.37,16.2,1.8
randomSeq_10M_256_int,0.634,0.98,0.095,1.03,0.095,0.637,0.039
